"Timestamp","Which of the following games have you played before?","Enter a name. This can be any non numerical string and you will use this to access your game recommendations at the end of the project."
"2021/04/19 5:13:12 AM EST","Dota 2;Warframe;Sid Meier's Civilization V;Portal;Portal 2;BioShock Infinite;Don't Starve;Hitman Absolution;The Binding of Isaac;Dishonored;Cities Skylines","ynguyen"
"2021/04/19 9:29:50 AM EST","Dota 2;Team Fortress 2;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Warframe;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Terraria;PlanetSide 2;Trove;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Clicker Heroes;AdVenture Capitalist;Rust;Total War SHOGUN 2;Sid Meier's Civilization IV;XCOM Enemy Unknown;The Binding of Isaac;Insurgency;Realm of the Mad God;The Witcher Enhanced Edition;Napoleon Total War;Warhammer 40,000 Dawn of War II;Rocket League;Goat Simulator;Star Wars - Battlefront II;Dungeon Defenders;Star Wars Knights of the Old Republic;Age of Empires II HD The Forgotten;Dungeon Defenders II;Middle-earth Shadow of Mordor;Space Engineers","Terrell"
"2021/04/19 10:05:01 AM EST","Team Fortress 2;Unturned;Left 4 Dead 2;Garry's Mod;Portal;Portal 2;Terraria;Borderlands 2;Call of Duty Modern Warfare 2;Grand Theft Auto V;Call of Duty Black Ops;Castle Crashers;Rocket League;Fistful of Frags;Starbound;Medal of Honor(TM) Single Player;The Stanley Parable","Max"
"2021/04/19 10:32:59 AM EST","Team Fortress 2;Counter-Strike Global Offensive;Warframe;Garry's Mod;Terraria;Rocket League;H1Z1","Jeevs"
"2021/04/19 10:49:08 AM EST","Counter-Strike Global Offensive;Left 4 Dead 2;Counter-Strike;The Elder Scrolls V Skyrim;Heroes & Generals;Sid Meier's Civilization V;Portal 2;Borderlands 2;PAYDAY 2;Fallout New Vegas;Grand Theft Auto V;Age of Empires II HD Edition;Amnesia The Dark Descent;Chivalry Medieval Warfare;Sid Meier's Civilization IV;The Binding of Isaac;Fallout 4;Napoleon Total War;ARK Survival Evolved;Arma 3;Rocket League;Star Wars - Battlefront II;The Forest;ORION Prelude;The Walking Dead;Space Engineers","Trent Scott"
"2021/04/19 11:40:33 AM EST","Portal;Portal 2;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Batman Arkham City GOTY;Call of Duty Black Ops II;Rocket League","reveille"
"2021/04/19 11:58:40 AM EST","Warframe;The Elder Scrolls V Skyrim;Path of Exile;Fallout New Vegas;Borderlands;Fallout 4","Dom"
"2021/04/19 12:14:19 PM EST","Left 4 Dead 2;The Elder Scrolls V Skyrim;Terraria;Trove;Call of Duty Modern Warfare 2;Fallout New Vegas;Tom Clancy's Ghost Recon Phantoms - NA;Grand Theft Auto V;Call of Duty Black Ops;Just Cause 2;Magicka;AdVenture Capitalist;Defiance;The Binding of Isaac;Batman Arkham Asylum GOTY Edition;Dishonored;Call of Duty Black Ops II;The Witcher Enhanced Edition;ARK Survival Evolved;RIFT;Rocket League;Star Wars - Battlefront II;Hitman Sniper Challenge;The Lord of the Rings Online","Aubrey"
"2021/04/19 12:23:58 PM EST","Call of Duty Modern Warfare 2;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II;Rocket League","Deepak "
"2021/04/19 12:39:22 PM EST","Team Fortress 2;Sid Meier's Civilization V;Grand Theft Auto San Andreas;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Hitman Absolution;Call of Duty Black Ops II","Sam Donovan"
"2021/04/19 12:52:48 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Garry's Mod;The Elder Scrolls V Skyrim;Robocraft;Half-Life 2;Sid Meier's Civilization V;War Thunder;Portal;Portal 2;Half-Life;Call of Duty Modern Warfare 2;Fallout New Vegas;PAYDAY The Heist;Grand Theft Auto V;Saints Row The Third;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;AdVenture Capitalist;Batman Arkham City GOTY;Far Cry 3;Don't Starve;Hitman Absolution;Half-Life Source;Batman Arkham Asylum GOTY Edition;Fallout 4;Call of Duty Black Ops II;The Witcher Enhanced Edition;Saints Row IV;Arma 3;Rocket League;Batman Arkham Origins;Star Wars - Battlefront II;LIMBO;Middle-earth Shadow of Mordor;The Stanley Parable","Grant Stinson"
"2021/04/19 12:56:23 PM EST","Counter-Strike Global Offensive;Counter-Strike Source;Counter-Strike;Warframe;Borderlands 2;Call of Duty Modern Warfare 2;Grand Theft Auto IV;Grand Theft Auto V;Grand Theft Auto Vice City;Mirror's Edge;Borderlands;Grand Theft Auto III;Rocket League;Saints Row 2;Mafia II;Star Wars - Battlefront II;H1Z1;Max Payne 3;Dino D-Day","Baz"
"2021/04/19 3:08:44 PM EST","Grand Theft Auto IV;Batman Arkham City GOTY;Batman Arkham Origins;Star Wars Knights of the Old Republic","Ani"
"2021/04/19 3:27:44 PM EST","","Maria"
"2021/04/19 3:28:11 PM EST","Counter-Strike Global Offensive;Call of Duty Black Ops;Grand Theft Auto III;Call of Duty Black Ops II;Rocket League","kade"
"2021/04/19 3:28:32 PM EST","Grand Theft Auto IV;Grand Theft Auto V;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;Batman Arkham Asylum GOTY Edition;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Call of Duty Black Ops II","Aryan"
"2021/04/19 3:29:00 PM EST","Counter-Strike;Call of Duty Modern Warfare 2;Grand Theft Auto V;Call of Duty Black Ops;Grand Theft Auto III;Call of Duty Black Ops II;Saints Row 2","netfulu??"
"2021/04/19 3:29:15 PM EST","Counter-Strike Global Offensive;Counter-Strike;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Grand Theft Auto IV;Grand Theft Auto V;Call of Duty Black Ops;Grand Theft Auto Vice City;Batman Arkham Asylum GOTY Edition;Batman Arkham Origins","gamerboi97"
"2021/04/19 3:29:45 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Counter-Strike;Garry's Mod;Half-Life 2;War Thunder;Portal;Portal 2;Borderlands 2;PAYDAY 2;Half-Life;Call of Duty Modern Warfare 2;Fallout New Vegas;Left 4 Dead;Grand Theft Auto IV;Grand Theft Auto V;Saints Row The Third;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;Dead Island;BioShock;Half-Life Source;Mirror's Edge;Borderlands;Batman Arkham Asylum GOTY Edition;Call of Duty Black Ops II;Rocket League;Saints Row 2;Star Wars - Battlefront II;Battlefield Bad Company 2;Mass Effect 2","mkanarr"
"2021/04/19 3:30:08 PM EST","Team Fortress 2;Unturned;Counter-Strike Global Offensive;Garry's Mod;Portal 2;Castle Crashers;Rocket League;Super Meat Boy;Hotline Miami;Happy Wars","George"
"2021/04/19 3:32:37 PM EST","Call of Duty Black Ops;Call of Duty Black Ops II;Rocket League;Goat Simulator;Cities Skylines;The Stanley Parable","chris"
"2021/04/19 3:33:36 PM EST","Dota 2;Team Fortress 2;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Counter-Strike;Garry's Mod;The Elder Scrolls V Skyrim;Heroes & Generals;Sid Meier's Civilization V;War Thunder;Portal 2;Day of Defeat;PAYDAY 2;Loadout;Nosgoth;Call of Duty Modern Warfare 2;Fallout New Vegas;Dirty Bomb;Tom Clancy's Ghost Recon Phantoms - NA;BioShock Infinite;Left 4 Dead;Grand Theft Auto IV;PAYDAY The Heist;Grand Theft Auto V;Arma 2;Empire Total War;APB Reloaded;Saints Row The Third;Tomb Raider;Call of Duty Black Ops;Arma 2 Operation Arrowhead;DayZ;Just Cause 2;Sniper Elite V2;Call of Duty Modern Warfare 3;Age of Empires II HD Edition;Torchlight II;Chivalry Medieval Warfare;Killing Floor;Rust;Rising Storm/Red Orchestra 2 Multiplayer;Total War SHOGUN 2;Hitman Absolution;Sid Meier's Civilization IV;Company of Heroes (New Steam Version);Insurgency;Trine 2;Dishonored;Fallout 4;Call of Duty Black Ops II;Total War ROME II - Emperor Edition;Warhammer 40,000 Dawn of War II;Arma 3;Rocket League;Fistful of Frags;Darksiders;Batman Arkham Origins;Goat Simulator;SMITE;Star Wars - Battlefront II;Dungeon Defenders;Mount & Blade Warband;America's Army Proving Grounds;Battlefield Bad Company 2;The Lord of the Rings Online;Hotline Miami;Dungeon Defenders II;Middle-earth Shadow of Mordor;Medieval II Total War;Mass Effect 2;Space Engineers","chester"
"2021/04/19 3:34:15 PM EST","Dota 2;Team Fortress 2;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Garry's Mod;The Elder Scrolls V Skyrim;Counter-Strike Condition Zero;Half-Life 2;Sid Meier's Civilization V;Portal;Portal 2;Ricochet;Terraria;Borderlands 2;PAYDAY 2;PlanetSide 2;Half-Life;Call of Duty Modern Warfare 2;Fallout New Vegas;Metro 2033;Left 4 Dead;Grand Theft Auto IV;PAYDAY The Heist;Grand Theft Auto V;Arma 2;Saints Row The Third;Tomb Raider;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;BioShock;Killing Floor;Batman Arkham City GOTY;Far Cry 3;Rising Storm/Red Orchestra 2 Multiplayer;Don't Starve;Sid Meier's Civilization IV;Insurgency;Half-Life Source;Mirror's Edge;Euro Truck Simulator 2;BioShock 2;Borderlands;Batman Arkham Asylum GOTY Edition;Castle Crashers;Dishonored;Red Orchestra 2 Heroes of Stalingrad - Single Player;Fallout 4;Call of Duty Black Ops II;Saints Row IV;Arma 3;Rocket League;FTL Faster Than Light;Fistful of Frags;DC Universe Online;Super Meat Boy;Tactical Intervention;Batman Arkham Origins;Goat Simulator;Bastion;Star Wars - Battlefront II;LIMBO;Mount & Blade Warband;Alan Wake;Star Wars Knights of the Old Republic;BattleBlock Theater;Hotline Miami;Middle-earth Shadow of Mordor;The Stanley Parable;Mass Effect 2;Surgeon Simulator;Space Engineers","OngoGablogian"
"2021/04/19 3:41:51 PM EST","Dota 2;Warframe;Path of Exile;Amnesia The Dark Descent;The Binding of Isaac;Dishonored;LIMBO","f"
"2021/04/19 5:54:15 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Warframe;Garry's Mod;Terraria;Rocket League;H1Z1","Jeevs"
"2021/04/19 9:03:51 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Warframe;Garry's Mod;Portal;Portal 2;Terraria;Call of Duty Modern Warfare 2;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;AdVenture Capitalist;Call of Duty Black Ops II;Goat Simulator","Deaner"
"2021/04/19 10:27:47 PM EST","Counter-Strike Global Offensive;Counter-Strike Source;Counter-Strike;Warframe;Borderlands 2;Call of Duty Modern Warfare 2;Grand Theft Auto IV;Grand Theft Auto V;Grand Theft Auto Vice City;Mirror's Edge;Borderlands;Grand Theft Auto III;Rocket League;Saints Row 2;Mafia II;Star Wars - Battlefront II;H1Z1;Max Payne 3;Dino D-Day","Baz"
"2021/04/20 1:23:20 AM EST","Call of Duty Modern Warfare 2;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II;Rocket League","Deepak "
"2021/04/20 1:57:13 AM EST","Dota 2;Team Fortress 2;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Counter-Strike;Warframe;Garry's Mod;The Elder Scrolls V Skyrim;Half-Life 2;Portal 2;Terraria;Borderlands 2;PAYDAY 2;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Path of Exile;Fallout New Vegas;Tom Clancy's Ghost Recon Phantoms - NA;Grand Theft Auto IV;Grand Theft Auto V;Call of Duty Black Ops;DayZ;Just Cause 2;Call of Duty Modern Warfare 3;Dead Island;Killing Floor;Grand Theft Auto Vice City;Don't Starve;Euro Truck Simulator 2;Castle Crashers;Dishonored;Fallout 4;Call of Duty Black Ops II;Rocket League;Super Meat Boy;Goat Simulator;SMITE;Star Wars - Battlefront II;H1Z1;LIMBO;The Forest;The Walking Dead;Cities Skylines","Bob Dole"
"2021/04/20 4:10:57 AM EST","Call of Duty Modern Warfare 2;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II;Rocket League","Deepak "
"2021/04/20 3:26:44 PM EST","Grand Theft Auto San Andreas;Amnesia The Dark Descent;The Binding of Isaac;Bastion;BattleBlock Theater","Nkemdi Anyiam"
"2021/04/20 3:53:01 PM EST","Garry's Mod;Castle Crashers;Dark Souls Prepare to Die Edition;Aura Kingdom","Bao"
"2021/04/20 5:11:46 PM EST","Dota 2;Team Fortress 2;Unturned;Counter-Strike Global Offensive;Left 4 Dead 2;Warframe;Garry's Mod;The Elder Scrolls V Skyrim;Half-Life 2;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Borderlands 2;PAYDAY 2;PlanetSide 2;Half-Life;Trove;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Path of Exile;Fallout New Vegas;Warface;Dirty Bomb;Metro 2033;BioShock Infinite;Neverwinter;Left 4 Dead;Grand Theft Auto IV;Grand Theft Auto V;Arma 2;Empire Total War;Saints Row The Third;Tomb Raider;Call of Duty Black Ops;DayZ;Just Cause 2;Sniper Elite V2;Call of Duty Modern Warfare 3;Dead Island;Amnesia The Dark Descent;TERA;BioShock;Killing Floor;Rust;Batman Arkham City GOTY;Grand Theft Auto Vice City;Far Cry 3;Don't Starve;Total War SHOGUN 2;Hitman Absolution;Sid Meier's Civilization IV;XCOM Enemy Unknown;The Binding of Isaac;Insurgency;Half-Life Source;Mirror's Edge;Euro Truck Simulator 2;BioShock 2;Borderlands;Batman Arkham Asylum GOTY Edition;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Dishonored;Fallout 4;Call of Duty Black Ops II;The Witcher Enhanced Edition;Saints Row IV;Deus Ex Human Revolution;ARK Survival Evolved;Warhammer 40,000 Dawn of War II;RIFT;Arma 3;Rocket League;Dead Space;Darksiders;DC Universe Online;Super Meat Boy;Saints Row 2;Crysis 2 Maximum Edition;Batman Arkham Origins;Mafia II;Goat Simulator;SMITE;Star Wars - Battlefront II;H1Z1;LIMBO;The Forest;BattleBlock Theater;The Walking Dead;Cities Skylines;Battlefield Bad Company 2;Max Payne 3;F.E.A.R. 3;Hotline Miami;F.E.A.R. 2 Project Origin;Medal of Honor(TM) Single Player;Middle-earth Shadow of Mordor;Mass Effect 2;Surgeon Simulator;South Park The Stick of Truth","Kevin"
"2021/04/20 5:30:09 PM EST","Dota 2;Team Fortress 2;Unturned;Counter-Strike Global Offensive;Left 4 Dead 2;Garry's Mod;The Elder Scrolls V Skyrim;Robocraft;Half-Life 2;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Borderlands 2;PAYDAY 2;PlanetSide 2;Half-Life;Call of Duty Modern Warfare 2;Fallout New Vegas;BioShock Infinite;Grand Theft Auto V;Saints Row The Third;Tomb Raider;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;BioShock;Chivalry Medieval Warfare;AdVenture Capitalist;Batman Arkham City GOTY;Far Cry 3;Don't Starve;Sid Meier's Civilization IV;XCOM Enemy Unknown;The Binding of Isaac;Mirror's Edge;BioShock 2;Castle Crashers;Dishonored;Realm of the Mad God;Call of Duty Black Ops II;Saints Row IV;Deus Ex Human Revolution;RIFT;Rocket League;FTL Faster Than Light;Toribash;Fistful of Frags;Super Meat Boy;Goat Simulator;Bastion;Dungeon Defenders;BattleBlock Theater;Cities Skylines;Dungeon Defenders II;The Stanley Parable;Surgeon Simulator","Hageb"
"2021/04/21 11:00:43 AM EST","Dota 2;Team Fortress 2;Unturned;Counter-Strike Global Offensive;Left 4 Dead 2;Garry's Mod;The Elder Scrolls V Skyrim;Robocraft;Half-Life 2;Sid Meier's Civilization V;Portal;Portal 2;Terraria;Borderlands 2;PAYDAY 2;PlanetSide 2;Half-Life;Call of Duty Modern Warfare 2;Fallout New Vegas;BioShock Infinite;Grand Theft Auto V;Saints Row The Third;Tomb Raider;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;BioShock;Chivalry Medieval Warfare;AdVenture Capitalist;Batman Arkham City GOTY;Far Cry 3;Don't Starve;Sid Meier's Civilization IV;XCOM Enemy Unknown;The Binding of Isaac;Mirror's Edge;BioShock 2;Castle Crashers;Dishonored;Realm of the Mad God;Call of Duty Black Ops II;Saints Row IV;Deus Ex Human Revolution;RIFT;Rocket League;FTL Faster Than Light;Toribash;Fistful of Frags;Super Meat Boy;Goat Simulator;Bastion;Dungeon Defenders;BattleBlock Theater;Cities Skylines;Dungeon Defenders II;The Stanley Parable;Surgeon Simulator","Hageb"
